Customer_ID,SSN,monthly_inhand_salary,num_bank_accounts,num_credit_card,interest_rate,num_of_loan,delay_from_due_date,num_of_delayed_payment,changed_credit_limit,num_credit_inquiries,credit_mix,outstanding_debt,credit_utilization_ratio,credit_history_age,payment_of_min_amount,total_emi_per_month,amount_invested_monthly,payment_behaviour,monthly_balance
CUS_0xd40,821-00-0265,1824.843333,3,4,3,4,3,7,11.27,4,Good,809.98,26.82261962,22.08333333,No,49.57494921,80.41529544,High_spent_Small_value_payments,312.4940887
CUS_0x21b1,004-07-5839,3037.986667,2,4,6,1,3,1,6.42,2,Good,605.03,34.97789475,26.91666667,No,18.81621457,130.1154202,Low_spent_Small_value_payments,444.8670319
CUS_0xb891,072-31-6145,2612.490833,2,5,4,1,0,6,1.99,4,Good,632.46,26.54422872,17.25,No,16.41545166,81.22885871,Low_spent_Large_value_payments,433.604773
CUS_0x1cdb,615-06-7821,2853.309167,7,5,5,0,9,17,2.58,4,Standard,943.86,41.77618715,31,Yes,0,62.72327834,High_spent_Small_value_payments,482.6076383
CUS_0x284a,411-51-0676,10469.20776,0,1,8,2,0,3,9.34,2,Good,352.16,32.200509,30.58333333,No,137.6446054,378.1712535,High_spent_Medium_value_payments,858.4624744
CUS_0x5407,500-92-6408,2611.115,8,7,15,3,27,14,17.13,5,Standard,1704.18,30.20621422,14.91666667,Yes,70.47833267,117.6561823,High_spent_Large_value_payments,397.2283547
CUS_0xba08,366-68-1681,2825.233333,0,5,12,2,4,0,5.76,2,Good,421.43,29.51935256,26.5,No,46.61612907,154.3527811,High_spent_Small_value_payments,341.5544232
CUS_0xa66b,221-30-8554,2948.605833,5,5,20,3,16,20,8,8,Standard,1328.93,29.07375818,19.5,Yes,65.00817429,243.3296848,Low_spent_Small_value_payments,276.5227243
CUS_0x3e45,414-53-2918,4766.68,6,4,14,3,10,8,5.54,3,Standard,179.22,25.64924607,26.83333333,Yes,124.3920824,243.7354374,Low_spent_Large_value_payments,378.5404802
CUS_0x6c66,328-33-6328,519.12875,6,5,32,7,22,9,8.86,6,Standard,2602.69,37.16937449,9.25,Yes,36.54819717,50.4869522,Low_spent_Small_value_payments,254.8777256
CUS_0x33d2,965-46-2491,2942.148333,6,6,7,2,8,14,6.28,0,Standard,818.22,25.36959679,16.83333333,Yes,45.14129822,81.99883506,Low_spent_Medium_value_payments,447.0747001
CUS_0x6070,#F%$D@*&8,7591.59,6,7,16,0,16,8,9.13,4,Standard,1296.64,34.35765024,29.5,Yes,0,78.71934549,High_spent_Large_value_payments,920.4396545
